Food,Category,Recipe/Single_food_item,Fiber_(g),Quantity,Carbohydrate_(g),Protein_(g),Fat_(g),Calories_(kcal),Protein_(g)_nutritions,Fats_(g),Carbohydrates_(g),Starch_(g),Cholesterol_(mg),Calcium_(mg),Magnesium_(mg),Iron_(mg),Zinc_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Vitamin_B6_(mg),Vitamin_B12_(mcg),"Folate,_ug",Vitamin_C_(mg),Retinol_Activity_Equivalents_(ug),Vitamin_E_(ug),total_n-6_fas_(%_of_energy),total_n-3_fas_(%_of_energy),Vitamin_B5_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Selenium_(mcg),Retinol_(mcg),Saturated_fatty_acids_(g),Mono-unsaturated_fatty_acids_(g),Poly-unsaturated_fatty_acids_(g),Free_sugars_(g)
"JACKFRUIT SEED, W/ COCONUT MILK",Dessert,R,5.3,92.0,32.480000000000004,3.44,3.44,161.4,4.2,13.3,10.3,5.2,0.0,36.0,29.0,1.08,0.26,0.03,0.02,0.2,0.03,0.0,30.1,3.7,42.0,0.1,0.9,0.1,0.31290934680000004,38.77015582,358.49394666,10.087569149,3.5354008962,0.0,34.2382244,18.0148502,93.2524864,2.216270601
"JACKFRUIT SEEDS, DRY",Dessert,R,8.2,86.0,42.239999999999995,4.82,9.1,470.2,5.4,13.4,11.3,7.3,0.0,52.0,39.9,0.93,0.35,0.05,0.05,0.5,0.06,0.0,47.5,8.2,138.0,0.2,2.6,0.2,0.444182098,34.758070828,236.4189249,23.726916468,87.11719455400001,27.0,89.7322512,188.15351719999998,248.91029600000002,1.8933191852
"JACKFRUIT, RIPE, RAW",Breakfast,S,3.6,92.0,37.32000000000001,2.46,2.94,165.2,2.7,0.2,14.0,0.5,0.0,35.0,31.8,0.36,0.14,0.05,0.01,0.4,0.22,0.0,32.2,6.7,0.0,0.1,0.3,0.2,0.49048479260000005,75.85872119599999,351.18539488,8.5134766034,5.728379499800001,0.0,60.1483292,35.0008622,191.36308400000001,0.8568603994
JAGGERY,Main Dish,S,0,100.0,66.84,5.42,16.3,557.0,0.0,0.0,92.9,0.0,0.0,0.0,0.0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00664,5.260800004,23.8288000106,19.464072000999998,0.7649280024,7.8,272.62762,22.45236,4.62332,10.106219783
JAM,Breakfast,S,0,86.0,51.239999999999995,2.82,4.5,284.4,0.6,0.0,69.0,0.0,0.0,12.0,5.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.02,19.0,77.0,32.0,2.0,0.0,0.01,0.038,0.0,48.5
JAM PAAN,Breakfast,S,,100.0,55.0,7.0,8.0,300.0,5.3843307212000004,6.565710923799999,51.82753407599999,17.4100003642,8.638186646,58.97659453,19.904670262,2.4211525876,0.5736974266,0.084931871,0.0631084368,1.2614960832,0.1424878382,0.0241652856,24.387046852,1.0744522285999998,27.3566817232,0.12456033819999998,4.6,0.02,0.3609731964,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
JELLY JUJUB,Breakfast,S,,4.0,3.4,0.0,0.0,14.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807020000001,0.07504621040000001,1.3625114536000003,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
"JUICE, SWEETENED",Breakfast,S,0,92.0,38.480000000000004,2.44,4.4399999999999995,185.4,0.4,0.0,10.3,0.0,0.0,7.0,7.0,0.07,0.0,0.17,0.02,0.3,0.06,0.0,11.0,33.0,0.0,0.0,0.0,0.0,0.241546598,36.061810200000004,267.19802,7.89089184,120.2280414376,0.0,23.7798942,18.9905586,82.211318,4.149104970000001
"KANKUN, FRESH OR WATER-COOKED MALLUM W/ SCRAPED COCONUT",Dessert,R,4.5,100.0,39.44,4.5200000000000005,8.36,420.2,3.7,13.1,5.5,0.1,0.0,92.0,15.9,3.58,0.22,0.04,0.11,0.4,0.03,0.0,10.7,18.3,261.0,0.8,1.3,0.0,0.3599974007999999,40.06546792,356.84415276,23.747867424,88.059934873,19.2,119.108982,407.063121,287.58191,6.1175931958000005
"KANKUN, TEMPERED",Dessert,R,2,100.0,39.44,4.5200000000000005,8.36,420.2,2.6,3.9,4.0,0.6,0.0,84.0,10.2,3.07,0.09,0.05,0.12,0.7,0.03,0.0,5.8,23.4,281.0,0.1,1.4,0.1,0.33905159679999997,35.61043512,305.68153076,15.354864624000001,88.059934873,19.2,119.108982,407.063121,287.58191,5.5195123758
"KANKUN, TEMPERED MALLUM W/ SCRAPED COCONUT",Dessert,R,5,100.0,39.44,4.5200000000000005,8.36,420.2,4.0,19.9,5.7,0.1,0.0,99.0,16.8,3.86,0.24,0.04,0.11,0.5,0.03,0.0,11.4,18.7,282.0,1.0,1.3,0.0,0.490236484,40.06546792,367.37476189999995,28.989471778000002,91.74587930099999,19.2,119.108982,407.063121,287.58191,1.4573801774
"KATHURUMURUNGA, FRESH OR WATER-COOKED MALLUM W/ SCRAPED COCONUT",Dessert,R,8.8,86.0,29.639999999999997,4.12,10.76,359.2,7.0,8.9,6.1,2.9,0.0,688.0,84.4,3.63,0.55,0.14,0.22,0.7,0.12,0.0,98.6,1.8,1593.0,1.9,1.6,2.1,0.6289044135999999,95.31797857,561.2706059999999,22.1029893134,21.979649169,275.6,531.9922944,396.263064,539.351831,1.4259646738
"KATHURUMURUNGA, TEMPERED MALLUM W/SCRAPED COCONUT",Dessert,R,7.9,86.0,29.639999999999997,4.12,10.76,420.2,6.1,12.7,5.6,2.5,0.0,588.0,73.2,3.15,0.49,0.12,0.19,0.6,0.11,0.0,85.2,1.9,1359.0,1.7,1.6,1.5,0.5961014506,91.027040778,587.30771538,25.641197891999997,22.6871198736,186.0,120.740872,206.9770894,329.746992,1.2599893536
KAVUM,Side Dish,S,,110.0,66.0,9.98,23.36,600.0,6.034716872000001,6.438296967999999,54.008518220000006,20.850109744,17.276373292,74.39797972,15.061091611999998,1.671366926,0.6311757212,0.07177749359999999,0.03334420640000001,1.833180046,0.12039978119999999,0.045736576,16.605471956,1.3489044572,52.015542604000004,0.19186320080000002,4.4799999999999995,0.02,0.356491398,75.011893076,180.88109200000002,36.0989918638,7.2406116488,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.5510394956000001
"KENDA, FINGER MILLET",Dessert,R,1.4856118,92.0,38.480000000000004,2.44,4.4399999999999995,185.4,2.5487068,13.867081,11.381498,5.7235174,0.0,32.652157,15.039546,1.4581234,0.62726575,0.041737724,0.019885127,0.6119169,0.0684973,0.0,16.164854,2.9191108,6.3755531,0.03135138,0.43999999999999995,0.04,0.17419195,28.882883,86.428879,1.8610671,0.99358928,0.0,38.437717,48.486828,66.384285,1.4212532
"KENDA, LEAFY VEGETABLE & RICE",Dessert,R,0.8,100.0,39.44,4.5200000000000005,8.36,420.2,1.4,0.3,11.6,9.8,0.0,83.0,51.1,2.52,0.59,13.51,14.96,0.6,0.0,0.0,0.0,2.0,235.0,92.1,0.3,0.5,0.42448969859999997,32.916079706,314.58527678,21.681250541999997,90.1814752402,27.0,435.235814,834.968717,390.50426200000004,3.843708692
KIBULA BANIS,Breakfast,S,,50.0,30.0,3.0,4.0,175.0,6.7041166599999995,16.1495528,36.9148306,19.9649454922,0.0,77.1113388,82.25412445600001,2.84284348,1.07517819,0.10234721799999999,0.10740263799999998,1.5148898000000002,0.1013368746,0.0012969976,32.5706826,11.42,9.279656800000001,5.2386287378,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
"KIDNEY BEANS, BOILED & TEMPERED",Dessert,R,0.355558991,92.0,41.32,2.2600000000000002,2.54,183.2,7.690844059,5.297588348,15.97943687,13.08696175,0.0,32.52494049,45.02121735,1.992735028,0.942492008,0.160268411,0.056181099,0.570871413,0.11940895,0.0,31.00121498,2.836589813,2.317739248,0.183254987,1.06,0.2,0.324018002,135.8451385,394.0614014,6.354931831,5.429284096,0.0,60.0812448,42.3441222,215.176082,0.576492012
"KIDNEY BEANS, BOILED & TEMPERED, W/ COCONUT MILK",Dessert,R,10.9,106.0,41.32,4.459999999999999,8.34,245.2,10.3,9.3,21.8,17.6,0.0,55.0,73.0,3.35,1.4,0.19,0.08,2.2,0.13,0.0,60.4,3.0,30.0,0.3,1.3,1.0,1.1152297136000002,101.80397430000001,389.80510324,390.33320118600005,30.728339632,0.0,139.578206,265.32753319999995,512.643774,0.7494531992000001
"KIDNEY BEANS, BOILED, W/ COCONUT MILK",Dessert,R,10.9,106.0,41.32,4.459999999999999,8.34,245.2,10.3,3.9,21.8,17.6,0.0,55.0,73.0,3.36,1.4,0.19,0.08,2.2,0.13,0.0,60.3,3.0,31.0,0.3,1.2,1.3,1.1152297136000002,101.8039743,389.80510324,390.33320118600005,30.728339632,0.0,139.578206,265.32753319999995,512.643774,0.7494531992000001
KIRI HODHI,Lunch,S,,62.0,40.6,4.6,8.7,245.0,8.404330721200001,18.185710923800002,36.487534075999996,9.410000364199998,8.638186646,100.97659452999999,80.78467026199999,3.1211525876,1.1276974266,0.10493187099999998,0.1091084368,1.6414960831999998,0.1404878382,0.0241652856,29.687046852,1.1944522286,27.3566817232,5.2845603381999995,4.819999999999999,0.08,0.3609731964,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
KIRI HODHI,Snack,S,,72.0,40.6,4.6,8.7,247.0,8.404330721200001,18.185710923800002,36.487534075999996,9.410000364199998,8.638186646,100.97659453000001,80.78467026199999,3.1211525876,1.1276974266,0.10493187099999998,0.1091084368,1.6414960831999998,0.1404878382,0.0241652856,29.687046852,1.1944522286,27.3566817232,5.2845603381999995,4.819999999999999,0.08,0.3609731964,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
KIRI HODI,Breakfast,S,,100.0,4.0,1.0,9.0,100.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807020000001,0.07504621040000001,1.3625114536,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
KIRIBATH,Breakfast,S,,100.0,16.0,1.9,7.0,150.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.03177235199999,1.6013523006,1.0529748458000001,0.07712807019999998,0.07504621040000001,1.3625114536,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
KIRIBATH,Lunch,S,,100.0,16.0,1.9,7.0,150.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.03177235199999,1.6013523006,1.0529748458000001,0.07712807019999998,0.07504621040000001,1.3625114536,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
"KOHLRABI, BOILED, W/ COCONUT MILK",Dessert,R,2.7848771,92.0,34.32000000000001,3.46,8.540000000000001,245.4,3.150048,16.464243,6.1917391,0.74612302,0.0,115.90562,20.288019,1.6213369,0.63488299,0.060731199,0.053311151,0.87506306,0.1761965,0.475445918,20.877323,48.818405,9.7819414,0.176911,1.04,0.38,0.330037,40.096474,308.02829,22.681339,0.24446499,22.4,99.546188,32.921371,151.8131,0.23944899
KOKIS,Side Dish,S,,130.0,75.8,8.0,11.540000000000001,420.0,6.047572497200001,5.4653066078000005,45.956962585999996,9.0254796362,17.276373292,86.56424559,17.392593268,2.4449925706,0.5781070972,0.08347339980000001,0.036377902000000004,1.4431963062,0.1663508542,0.045736576,20.38910023,1.7289044572,37.824796225200004,0.1591022586,4.4799999999999995,0.02,0.356491398,75.011893076,180.881092,36.0989918638,7.240611648800001,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.5510394955999999
KOLA KENDA,Dessert,S,,110.0,75.0,8.58,14.959999999999999,438.0,6.034716872,6.438296968,54.00851822,20.850109744,17.276373292,74.39797972,15.061091611999998,1.671366926,0.6311757212,0.07177749359999999,0.0333442064,1.833180046,0.12039978120000001,0.045736576,16.605471956,1.3489044572,52.015542604000004,0.1918632008,4.4799999999999995,0.02,0.356491398,75.011893076,180.881092,36.0989918638,7.240611648800001,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.5510394955999999
KOLA MALLUM,Breakfast,S,,50.0,5.0,1.0,5.0,80.0,5.702760601,12.896095401,16.166682739200002,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807020000001,0.07504621040000001,1.3625114536000003,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
KOLUKKATTA / MOTHAGAM,Dessert,R,3.289150953,92.0,41.32,2.26,2.54,183.2,7.272830009,5.182547092,37.12477493,20.55449104,0.0,25.90342522,36.56858444,1.761094332,0.843169808,0.080696225,0.035573587,0.495792478,0.134200007,0.0101370998,16.37704468,0.0,3.6836133,0.093603775,0.4,0.06000000000000001,0.560735881,97.80188751,272.8717041,5.634320736,10.31858444,1.6,71.302635,35.0885178,179.71379199999998,0.574547172
KOTMALE VANILLA MILK,Breakfast,S,,68.0,21.0,3.4,3.0,124.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.03177235199999,1.6013523006,1.0529748458000001,0.07712807019999998,0.07504621040000001,1.3625114536,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
KOTTU,Side Dish,S,,90.0,43.8,7.56,13.88,327.0,5.3843307212,6.565710923799999,51.82753407599999,17.4100003642,8.638186646,58.97659453,19.904670262,2.4211525876,0.5736974266,0.084931871,0.0631084368,1.2614960832,0.1424878382,0.0241652856,24.387046852,1.0744522285999998,27.3566817232,0.12456033819999998,4.6,0.02,0.3609731964,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
KUKUL MAS CURRY,Breakfast,S,,110.0,66.0,9.98,23.36,490.0,6.034716872,6.438296968,54.00851822,20.850109744,17.276373292,74.39797972,15.061091611999998,1.671366926,0.6311757212,0.0717774936,0.0333442064,1.833180046,0.12039978119999999,0.045736576,16.605471956,1.3489044572000002,52.015542604000004,0.1918632008,4.4799999999999995,0.02,0.356491398,75.011893076,180.881092,36.0989918638,7.240611648800001,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.5510394955999999
KUKUL MAS CURRY,Breakfast,S,,90.0,43.8,7.56,13.88,322.0,5.3843307212,6.565710923799999,51.82753407599999,17.4100003642,8.638186646,58.97659453,19.904670262,2.4211525876,0.5736974266,0.084931871,0.0631084368,1.2614960832,0.1424878382,0.0241652856,24.387046852,1.0744522285999998,27.3566817232,0.12456033819999998,4.6,0.02,0.3609731964,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
"KUNISSA SHRIMP, FRESH, TEMPERED",Dessert,R,3.2072918,92.0,34.32000000000001,3.4599999999999995,8.540000000000001,213.2,12.588754,15.32516,8.9233294,2.161869,50.175961,51.852383,53.711273,1.1377699,1.052865,0.056299951,0.055190001,1.142831,0.20503834,0.3508065,31.001633,15.64043,53.132305,0.087438002,1.44,0.5800000000000001,1.6024081,160.21291,347.8009,141.1456,33.948509,11.0,616.3517462,686.78480356,218.0479038,0.5813370968
"KUNISSA SHRIMP, FRESH, TEMPERED, W/ COCONUT MILK",Dessert,R,1.5,86.0,48.239999999999995,3.8200000000000003,10.1,280.8,10.6,9.4,3.4,1.5,45.7,42.0,40.4,1.16,0.84,0.03,0.03,0.7,53.77,0.3196215,998.5,5.7,54.0,2.1,1.3,0.3,0.623396838,57.61789,157.925402,1952.8743385999999,273.9408114,3.2,1480.2760064000001,1030.045712,975.0013350000002,0.22134839839999998
KURAKKAN ROTI,Dessert,S,,110.0,66.0,9.98,23.36,567.0,6.034716872000001,6.438296967999999,54.008518220000006,20.850109744,17.276373292,74.39797972,15.061091611999998,1.671366926,0.6311757212,0.07177749359999999,0.03334420640000001,1.833180046,0.12039978119999999,0.045736576,16.605471956,1.3489044572,52.015542604000004,0.19186320080000002,4.4799999999999995,0.02,0.356491398,75.011893076,180.88109200000002,36.0989918638,7.2406116488,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.5510394956000001
KURAKKAN ROTI,Side Dish,S,,110.0,66.0,9.98,23.36,569.0,6.034716872000001,6.438296967999999,54.008518220000006,20.850109744,17.276373292,74.39797972,15.061091611999998,1.671366926,0.6311757212,0.07177749359999999,0.03334420640000001,1.833180046,0.12039978119999999,0.045736576,16.605471956,1.3489044572,52.015542604000004,0.19186320080000002,4.4799999999999995,0.02,0.356491398,75.011893076,180.88109200000002,36.0989918638,7.2406116488,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.5510394956000001
KURUMBA,Breakfast,S,,650.0,8.9,2.2,4.1,75.0,4.494235697,5.714796685,17.1657724492,10.056362020399998,8.638186646,56.542417894,24.722318158,0.8808792436000001,0.39774089640000004,0.086364035,0.0631209516,0.9139912766,0.11549101579999999,0.0241652856,28.021739423999996,16.372389126599998,91.74864026200001,0.1322706814,4.819999999999999,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
"LADDU,SEMOLINA",Dessert,R,4,86.0,46.4,3.8,5.0,284.4,4.2,17.9,60.0,18.6,0.0,16.0,19.4,1.23,0.81,0.07,0.02,0.3,0.03,0.0,10.1,0.0,0.0,0.3,0.9,0.0,0.2134091352,40.714271743999994,54.10409073859999,1.0933815594,8.180196462000001,7.8,97.5069198,85.71433020000002,139.61497,0.6464273042
"LADIES FINGERS AND DRIED FISH, TEMPERED",Dessert,R,4.3181362,92.0,34.32000000000001,3.4599999999999995,8.540000000000001,213.2,17.000872,9.0506897,5.5440121,1.520384,37.148094,108.70194,86.623604,2.0257835,1.2897202,0.047958251,0.13438714,1.8357102,0.4738175,0.84179956,125.97701,16.022579,28.040438,0.405884,1.1400000000000001,0.4,0.50824261,156.04526,494.03833,2888.9397,117.74208,1.6,500.136022,814.444898,318.801706,0.53767228
"LADIES FINGERS AND DRIED FISH, TEMPERED, W/ COCONUT MILK",Dessert,R,2.3,106.0,44.32000000000001,3.46,2.7399999999999998,197.2,8.5,18.9,6.1,2.6,15.4,57.0,44.3,1.29,0.44,0.05,0.07,1.1,0.16,0.31178904,28.0,7.1,41.0,0.5,0.8,0.1,0.5631796058,104.0511102,263.95560832,40.245662627,61.13497040579999,0.0,70.7225488,29.3501212,115.11728740000001,1.8288781886000003
"LADIES FINGERS, TEMPERED",Dessert,R,6.5,106.0,41.32,4.46,8.34,474.0,3.3,11.7,10.6,2.1,0.0,98.0,81.2,1.93,0.69,0.07,0.1,1.1,0.24,0.0,75.0,21.4,109.0,0.7,2.1,0.3,0.5854577958,66.144127656,463.67391968000004,30.7749282832,20.067561133599998,19.2,203.444108,146.04801799999998,217.768066,1.6184089898
"LADIES FINGERS, TEMPERED, W/ COCONUT MILK",Dessert,R,4.5,106.0,41.32,4.46,8.34,433.0,2.9,15.8,7.5,2.9,0.0,86.0,62.8,1.97,0.5,0.03,0.06,0.5,0.13,0.0,49.5,11.1,71.0,0.5,1.5,0.2,0.6234965384000001,71.983153534,410.32134400000007,18.369396591199997,11.099526388400001,19.2,124.559158,142.829593,376.62200200000007,1.764920163
"LADIES FINGERS, W/ COCONUT MILK",Dessert,R,3.1,106.0,44.32000000000001,3.4599999999999995,2.7399999999999998,197.2,2.2,10.2,5.6,2.1,0.0,62.0,46.3,1.23,0.35,0.02,0.04,0.3,0.1,0.0,37.6,8.2,41.0,0.3,0.9,0.2,0.46960066539999995,52.04991531200001,406.09810792,14.039600754599999,7.5567600242,0.0,96.59924459999999,86.92860599999999,233.1811154,1.3141466262
"LASIA STEM, RAW",Breakfast,S,4.05,86.0,29.6,3.7,10.459999999999999,420.2,4.1,0.83,2.03,1.82,0.0,19.5,20.32,0.25,0.3,0.036,0.02,0.1,0.17,0.0,56.76,5.56,300.0,0.02,1.06,0.32,0.54,12.77,120.0,13.87,6.68,19.2,269.0,27.64,368.0,0.02
"LASIA STEM, TEMPERED MALLUM W/ SCRAPED COCONUT",Dessert,R,0.8,106.0,43.32,3.66,9.74,474.0,0.7,5.6,8.0,0.1,0.0,166.0,22.2,1.21,9.48,0.02,0.04,0.0,0.01,0.0,2.7,7.2,51.0,0.2,1.1,0.0,0.45102080000000005,107.54485006,231.85275134,58.40651823999999,4.673075202000001,22.4,5.1522312,34.51682,39.7210174,1.3869216
"LASIA STEM, W/ COCONUT MILK",Dessert,R,0.7,106.0,43.32,3.66,9.74,371.0,1.1,5.6,7.2,1.3,0.0,109.0,18.2,1.19,5.74,0.02,0.03,0.1,0.02,0.0,3.5,5.5,57.0,0.0,0.7,0.1,0.33705538539999996,48.41514655000001,286.10387837999997,11.788978953800001,2.8872496674000003,20.8,1054.8903023999999,1007.3963127999999,257.8046472,5.243618279800001
LAVARIYA,Dessert,R,1.110843897,100.0,65.0,4.0,10.0,310.0,4.064278126,4.335048199,44.74222183,2.576849461,0.0,28.83132935,10.25750828,1.698128223,0.72465688,0.048479531,0.025168478,0.750081301,0.189755365,0.027838567600000003,10.91814137,0.0,1.046268106,0.036195289,0.8799999999999999,0.22000000000000003,0.142302543,25.93286324,75.8353653,2.700310469,3.899514198,0.0,353.6846948,91.43414620000001,171.6486674,0.083737321
"LEAFY GREENS, NFS, AND DRIED FISH, NFS, TEMPERED",Dessert,R,5.2783079,86.0,48.239999999999995,3.8200000000000003,10.1,280.8,21.131659,7.5486746,6.2669487,2.5838006,45.351917,161.27927,99.742531,3.3043323,1.7166394,0.048267305,0.19031994,2.0789416,0.56163645,1.0277034,138.44347,27.646551,508.65421,0.28023785,2.46,0.24,0.65372384,175.88454,615.82806,3532.2305,150.85909,1.6,500.136022,814.444898,318.801706,0.53767228
"LEAVES, NFS, BOILED, W/ COCONUT MILK",Dessert,R,4.184862137,100.0,51.04,5.12,10.36,366.2,4.222723007,14.10889912,6.885292053,1.555563807,0.0,221.6204071,55.07598114,3.086734533,1.063493013,0.054128677,0.138166308,0.967351317,0.29992336,0.1,46.06773758,27.4624939,745.2289429,0.284219116,2.06,0.27999999999999997,0.312786549,48.49850464,332.1577454,15.87665272,10.0647459,205.2,66.1606618,22.888406999999997,177.323698,0.7910344
"LEAVES, NFS, FRESH OR WATER-COOKED MALLUM, W/ SCRAPED COCONUT",Dessert,R,7.945581436,100.0,51.04,5.12,10.36,366.2,4.557992458,12.14378643,5.335762501,2.988070488,0.0,163.4723816,78.74659729,2.922147989,1.124038935,0.039828822,0.178876922,0.735677063,0.376783371,0.1,55.44017792,37.2275238,816.8736572,0.447599977,3.4200000000000004,0.42000000000000004,0.640477777,87.13192749,492.8413696,30.98288345,21.46967125,205.2,66.1606618,25.026592,162.93593600000003,1.140944362
"LEAVES, NFS, TEMPERED",Dessert,R,5.976947784,100.0,51.04,5.12,10.36,366.2,4.289451599,5.68130064,6.499809265,3.34094429,0.0,174.7946014,74.15625763,3.050265789,0.939578474,0.05336003,0.195261538,0.768937826,0.416922092,0.1,59.84657288,43.00003052,905.7293091,0.377484858,3.4200000000000004,0.42000000000000004,0.552826285,72.58129883,479.1144714,21.55625153,12.92704201,205.2,66.1606618,25.026592,162.93593600000003,1.685518622
"LEAVES, NFS, TEMPERED MALLUM, W/ SCRAPED COCONUT",Dessert,R,7.478957176,100.0,51.04,5.12,10.36,366.2,4.335134506,16.86618614,5.136384964,2.836349487,0.0,157.5724182,75.05489349,2.789301157,1.06170702,0.038768616,0.17165722,0.706038594,0.36212039,0.1,53.33901215,35.98104477,786.9041138,0.424245447,3.4200000000000004,0.42000000000000004,0.60448879,82.21939087,469.5899963,29.01511192,20.00581932,205.2,66.1606618,25.026592000000004,162.93593600000003,1.128360033
"LEEKS AND DRIED FISH, TEMPERED",Dessert,R,0.2,106.0,43.32,3.6599999999999993,9.74,371.0,17.4,6.5,5.6,0.5,0.0,109.0,14.4,7.56,1.39,0.07,0.06,4.5,0.0,0.9499796,1.4,8.6,32.0,0.0,1.0,1.3,0.2598601876,49.066298608,217.55663136000004,45.261880442800006,2.6633254586,3.2,1023.7090123999999,1003.5331344,203.9468712,0.8582308886
"LEEKS AND POTATO, W/ COCONUT MILK",Dessert,R,,92.0,29.48,4.4399999999999995,9.040000000000001,209.4,3.6,18.2,13.0,8.044576625800001,35.160000000000004,37.4,41.87289093,2.5,0.8,0.16,0.03,0.76,0.26,0.0,54.45,8.2,89.26,0.534425404,1.24,0.18000000000000002,0.9173024372,41.767285156,316.13090144,43.457201132,89.5262383744,27.0,49.554939,48.632653999999995,119.79553759999999,4.9113986902
"LEEKS, FRESH OR WATER-COOKED MALLUM W/ SCRAPED COCONUT",Dessert,R,3.4,106.0,44.32000000000001,3.46,2.7399999999999998,197.2,2.5,12.1,6.2,0.4,0.0,45.0,20.4,0.79,0.22,0.04,0.04,0.3,0.11,0.0,35.5,3.6,3.0,1.1,1.3,0.0,0.4230649422,55.558778436,269.91957466,206.00546117920004,26.2734377702,0.0,49.3657194,27.37489784,107.6069162,0.9705951326
"LEEKS, TEMPERED",Dessert,R,4.126073837,92.0,34.32000000000001,3.4599999999999995,8.540000000000001,213.2,2.851191044,11.89799595,10.31424999,4.322883129,0.0,45.92801285,29.46445465,2.316802979,0.575586021,0.033570051,0.035366599,0.727843463,0.237904698,0.1,42.09104156,16.81974602,76.7702179,0.47212702,0.9400000000000001,0.06000000000000001,0.457247019,56.61819077,421.0506897,19.53344727,4.763164997,0.0,24.617068800000002,9.576732400000001,60.809086,3.998188019
"LEEKS, TEMPERED MALLUM W/ SCRAPED COCONUT",Dessert,R,0.4,92.0,37.32000000000001,2.46,2.94,165.2,1.9,8.8,5.0,0.7,0.0,42.0,9.8,0.4,0.06,0.04,0.03,0.4,0.11,0.0,27.2,4.4,4.0,0.3,0.7,0.0,0.182999994,25.5144302,145.0726998,539.48311142,35.365558054,0.0,20.203340400000002,13.976554000000002,27.491956,1.0661996656
"LEEKS, W/ COCONUT MILK",Dessert,R,1.7,106.0,44.32000000000001,3.46,2.7399999999999998,197.2,3.3,25.2,11.3,3.0,0.0,59.0,23.1,1.6,0.2,0.03,0.02,0.3,0.09,0.0,28.2,4.0,22.0,0.3,0.3,0.0,0.45484355660000003,62.907868113999996,262.46615951999996,9.379741894599999,12.5792381326,0.0,85.1071014,29.238043799999996,102.370469,1.2154938464
